Head,Index,Dumpingtime,Call Vega,Call Theta,Call Gamma,Call Delta,Calls Iv,Calls Coi,Call Strike Count,Put Vega,Put Theta,Put Gamma,Put Delta,Puts Iv,Puts Coi,Put Strike Count
16-12-2025,NIFTY,09:16,-3.4457000000000164,1.974100000000007,-0.00040000000000000105,-0.22380000000000022,2.030000000000001,0.0,0.0,5.576499999999996,-8.158900000000017,0.00030000000000000165,-0.28290000000000015,2.8799999999999955,0.0,0.0
23-12-2025,NIFTY,09:16,-3.261199999999917,0.094600000000014,-0.00030000000000000165,-0.1529000000000007,2.169999999999959,-27.0,0.0,2.778099999999995,-0.931200000000004,0.00020000000000000052,-0.15330000000000066,-1.9400000000000261,-2.0,0.0
30-12-2025,NIFTY,09:16,-4.938600000000065,-1.2638999999999925,-0.0003999999999999993,-0.20120000000000005,5.329999999999984,-4.0,0.0,-1.172900000000027,4.465199999999996,0.00010000000000000113,-0.12460000000000004,-10.469999999999914,-15.0,0.0
Total,NIFTY,09:16,-11.645499999999998,0.8048000000000286,-0.001100000000000002,-0.577900000000001,9.529999999999944,-31.0,0.0,7.181699999999964,-4.624900000000025,0.0006000000000000033,-0.5608000000000009,-9.529999999999944,-17.0,0.0
30-12-2025,BANKNIFTY,09:16,5.3378999999999905,-13.125999999999976,-9.99999999999994e-05,-0.185500000000002,21.010000000000048,-46.0,0.0,-5.812600000000202,21.72090000000003,0.0004000000000000002,-0.13709999999999845,-19.230000000000018,-70.0,0.0
27-01-2026,BANKNIFTY,09:16,1845.4177000000002,-210.8761,0.004300000000000001,8.523900000000003,295.68999999999994,-66.85714285714285,-12.0,1793.6134000000002,-223.57739999999998,0.0037,-8.7931,286.44999999999993,-138.8571428571429,-17.0
Total,BANKNIFTY,09:16,1850.7556000000002,-224.00209999999998,0.0042000000000000015,8.3384,316.7,-112.85714285714285,-12.0,1787.8008,-201.85649999999995,0.0041,-8.9302,267.2199999999999,-208.8571428571429,-17.0
30-12-2025,FINNIFTY,09:16,330.06630000000007,-93.0305,0.007600000000000003,4.728599999999998,209.21,44.0,-3.0,267.9707000000001,-84.69290000000001,0.0053999999999999986,-4.518800000000001,160.83999999999997,-2.0,-13.0
27-01-2026,FINNIFTY,09:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8253,-2.2776,0.0001,-0.0871,13.6,-1.8461538461538463,1.0
Total,FINNIFTY,09:16,330.06630000000007,-93.0305,0.007600000000000003,4.728599999999998,209.21,44.0,-3.0,283.7960000000001,-86.97050000000002,0.005499999999999999,-4.605900000000001,174.43999999999997,-3.8461538461538463,-12.0
30-12-2025,MIDCPNIFTY,09:16,65.24369999999993,-33.26700000000001,0.0030999999999999986,0.1059000000000001,211.49000000000007,18.0,-6.0,137.04350000000002,-56.48460000000003,0.0089,-3.6951,303.49999999999994,-120.0,0.0
27-01-2026,MIDCPNIFTY,09:16,88.7081,-18.0098,0.0021,1.7404000000000002,109.88,4.285714285714285,-39.0,20.6762,-3.6649,0.0005,-0.27249999999999996,33.9,-0.8571428571428571,-16.0
Total,MIDCPNIFTY,09:16,153.95179999999993,-51.27680000000001,0.005199999999999998,1.8463000000000003,321.37000000000006,22.285714285714285,-45.0,157.71970000000002,-60.14950000000003,0.0094,-3.9676,337.3999999999999,-120.85714285714286,-16.0
16-12-2025,NIFTY,09:17,-8.5261,7.395599999999973,-0.000899999999999998,-0.5809000000000006,2.1200000000000045,60673.0,0.0,13.3155,-18.153900000000007,0.0008999999999999998,-0.6332000000000004,5.259999999999991,32626.0,0.0
23-12-2025,NIFTY,09:17,-10.798900000000003,2.514400000000009,-0.0005999999999999998,-0.5294999999999996,3.650000000000034,839.0,0.0,11.631700000000023,-4.323700000000002,0.0005999999999999998,-0.49629999999999974,-3.4200000000000443,193.0,0.0
30-12-2025,NIFTY,09:17,-15.252300000000105,1.0546999999999827,-0.0006999999999999992,-0.5433999999999992,6.789999999999992,-870.0,0.0,17.717700000000036,-2.0870999999999924,0.000700000000000001,-0.5668000000000006,3.769999999999982,-1158.0,0.0
